[INFO] 2025-11-25 21:34:05,531 - main - ===== Training Mode =====
[INFO] 2025-11-25 21:34:05,531 - main - Training protocol: simple_majority with 3 players and 1 rounds.
[INFO] 2025-11-25 21:34:05,531 - main - Initializing the environment and model...
[INFO] 2025-11-25 21:34:05,937 - main - Generating all possible input patterns...
[INFO] 2025-11-25 21:34:05,938 - main - Input patterns generated.
[INFO] 2025-11-25 21:34:05,938 - main - Starting training...
[INFO] 2025-11-25 21:34:05,938 - main - Epoch 1/3, training on 200 failed cases from last evaluation.
[INFO] 2025-11-25 21:34:08,697 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,697 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,697 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,698 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,698 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,698 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,699 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,699 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,699 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,700 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,700 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,701 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,701 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,701 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,701 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,702 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,702 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,702 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,703 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,703 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,703 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,704 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,704 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,704 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,704 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,705 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,705 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,706 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,706 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,706 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,707 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,707 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,707 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,708 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,708 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,708 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,709 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,709 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,709 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,710 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,710 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.FAIL: 2>]
[INFO] 2025-11-25 21:34:08,710 - verifier.verifier - Final global state: [<State.NO: 0>, <State.NO: 0>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,710 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,711 - verifier.verifier - Final global state: [<State.NO: 0>, <State.FAIL: 2>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,711 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,711 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,712 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,712 - verifier.verifier - Final global state: [<State.FAIL: 2>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,712 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,713 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.NO: 0>]
[INFO] 2025-11-25 21:34:08,713 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,713 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,714 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,714 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,714 - verifier.verifier - Final global state: [<State.NO: 0>, <State.PASS: 3>, <State.PASS: 3>]
[INFO] 2025-11-25 21:34:08,715 - verifier.verifier - Final global state: [<State.PASS: 3>, <State.NO: 0>, <State.PASS: 3>]
